item,genre
248,Blues
250,Blues
251,Blues
252,Blues
253,Classical
254,Classical
255,Classical
256,Classical
257,Classical
258,Country
259,Country
260,Country
261,Country
262,Country
263,Disco
264,Disco
265,Disco
266,Disco
267,Disco
268,Hip
269,Hip
270,Hip
271,Hip
272,Hip
273,Jazz
274,Jazz
275,Jazz
276,Jazz
277,Jazz
278,Metal
279,Metal
280,Metal
281,Metal
282,Metal
283,Pop
284,Pop
285,Pop
286,Pop
287,Pop
288,Reggae
289,Reggae
290,Reggae
291,Reggae
292,Reggae
293,Rock
294,Rock
295,Rock
296,Rock
297,Rock
249,Blues
691,Disco
707,Rock
729,Hip
674,Disco
745,Disco
675,Pop
676,Pop
677,Pop
678,Pop
680,Pop
681,Pop
682,Pop
683,Pop
684,Pop
685,Pop
686,Pop
687,Pop
688,Pop
689,Pop
690,Pop
692,Pop
693,Pop
694,Pop
695,Pop
696,Pop
697,Pop
698,Pop
700,Pop
701,Pop
702,Pop
679,Pop
699,Pop
703,Pop
704,Pop
705,Pop
706,Pop
709,Pop
710,Pop
712,Pop
715,Pop
716,Pop
719,Pop
720,Pop
721,Pop
722,Pop
723,Pop
724,Pop
725,Pop
726,Pop
708,Disco
711,Disco
713,Pop
717,Pop
727,Pop
718,Pop
728,Pop
714,Hip
730,Pop
731,Pop
733,Pop
734,Pop
735,Pop
736,Pop
737,Pop
739,Pop
740,Pop
741,Pop
743,Pop
744,Pop
746,Pop
747,Pop
748,Pop
750,Pop
751,Pop
753,Pop
755,Pop
757,Pop
749,Disco
732,Pop
738,Pop
742,Pop
752,Pop
754,Pop
756,Disco
759,Pop
761,Pop
760,Rock
762,Disco
758,Pop
