uid,iid,user_idx,item_idx,user_id,product_id,rating,rating_count,time_of_day,season,device_type,gender,category,brand,price,original_price,discount_percentage,product_views,purchase_intent,interaction_type,timestamp,price_range,time_of_day_encoded,season_encoded,device_type_encoded,category_encoded,day_of_week,month,hour,is_weekend,explicit_rating
157,54,157,54,158,55,4.26,310,night,winter,mobile,F,T-shirt,Uniqlo,1690040,2166719,22,1988,high,purchase,2023-01-01 00:39:03,Premium,3,3,1,19,6,1,0,1,0.7533333333333333
198,55,198,55,199,56,2.91,364,night,winter,tablet,M,Bag,Calvin Klein,2453908,2853382,14,1127,low,view,2023-01-01 02:12:09,Luxury,3,3,2,0,6,1,2,1,0.3033333333333334
57,331,57,331,58,332,4.16,390,night,winter,mobile,F,Sunglasses,Nike,1201933,1581492,24,945,high,purchase,2023-01-01 02:39:58,Premium,3,3,1,17,6,1,2,1,0.7200000000000001
174,90,174,90,175,91,3.05,100,night,winter,mobile,F,Shirt,Forever 21,1600941,1798811,11,1781,medium,view,2023-01-01 02:42:08,Premium,3,3,1,12,6,1,2,1,0.3499999999999999
29,34,29,34,30,35,2.69,278,night,winter,mobile,M,Hat,Levi's,550919,734559,25,928,medium,view,2023-01-01 04:38:56,Mid,3,3,1,7,6,1,4,1,0.22999999999999998
110,170,110,170,111,171,4.99,48,night,winter,desktop,F,Jeans,Bershka,395836,494795,20,312,high,purchase,2023-01-01 04:53:22,Budget,3,3,0,10,6,1,4,1,0.9966666666666667
20,395,20,395,21,396,2.79,342,night,winter,desktop,F,Hat,Nike,2469762,2775014,11,1611,medium,view,2023-01-01 05:44:59,Luxury,3,3,0,7,6,1,5,1,0.26333333333333336
54,156,54,156,55,157,3.87,195,morning,winter,desktop,M,Cardigan,Levi's,1779432,2341358,24,1912,low,view,2023-01-01 07:44:59,Premium,2,3,0,3,6,1,7,1,0.6233333333333334
155,473,155,473,156,474,4.21,80,morning,winter,desktop,M,Shoes,Forever 21,592347,740434,20,1408,high,purchase,2023-01-01 08:53:12,Mid,2,3,0,13,6,1,8,1,0.7366666666666667
78,269,78,269,79,270,2.68,153,morning,winter,tablet,M,Cargo Pants,Ralph Lauren,2035409,2394599,15,1218,low,view,2023-01-01 09:18:11,Luxury,2,3,2,4,6,1,9,1,0.2266666666666667
148,103,148,103,149,104,3.74,371,morning,winter,desktop,F,Jacket,Ralph Lauren,1889204,2222594,15,1040,medium,cart,2023-01-01 11:44:24,Premium,2,3,0,9,6,1,11,1,0.5800000000000001
180,314,180,314,181,315,4.01,332,afternoon,winter,desktop,M,Hoodie,Carhartt,2250058,2884691,22,756,high,view,2023-01-01 13:44:01,Luxury,0,3,0,8,6,1,13,1,0.6699999999999999
147,142,147,142,148,143,4.03,312,afternoon,winter,desktop,F,Shorts,Puma,359156,412824,13,63,high,purchase,2023-01-01 13:44:22,Budget,0,3,0,14,6,1,13,1,0.6766666666666667
27,393,27,393,28,394,3.48,145,night,winter,tablet,F,T-shirt,Forever 21,295498,388814,24,1018,low,view,2023-01-02 00:12:43,Budget,3,3,2,19,0,1,0,0,0.49333333333333335
194,101,194,101,195,102,4.06,108,night,winter,tablet,M,Cardigan,Mango,540271,710883,24,1105,high,purchase,2023-01-02 01:15:21,Mid,3,3,2,3,0,1,1,0,0.6866666666666665
74,99,74,99,75,100,2.25,190,night,winter,tablet,M,Bag,Bershka,1570101,2039093,23,736,low,view,2023-01-02 03:01:29,Premium,3,3,2,0,0,1,3,0,0.08333333333333333
17,487,17,487,18,488,4.3,199,night,winter,desktop,M,Skirt,Uniqlo,880288,1073522,18,727,high,purchase,2023-01-02 03:10:14,Mid,3,3,0,15,0,1,3,0,0.7666666666666666
36,342,36,342,37,343,3.61,342,morning,winter,desktop,F,Dress,Gucci,2213417,2459353,10,645,medium,cart,2023-01-02 07:20:54,Luxury,2,3,0,6,0,1,7,0,0.5366666666666666
57,15,57,15,58,16,4.41,108,morning,winter,desktop,F,Sneakers,Puma,2163470,2846672,24,1162,high,purchase,2023-01-02 08:41:54,Luxury,2,3,0,16,0,1,8,0,0.8033333333333333
168,341,168,341,169,342,4.07,33,morning,winter,desktop,F,Dress,Calvin Klein,2467718,2973155,17,1073,medium,cart,2023-01-02 09:08:28,Luxury,2,3,0,6,0,1,9,0,0.6900000000000001
90,260,90,260,91,261,3.2,387,morning,winter,tablet,M,Jacket,Mango,1800204,2195371,18,1659,high,cart,2023-01-02 11:22:34,Premium,2,3,2,9,0,1,11,0,0.4000000000000001
118,85,118,85,119,86,4.99,157,afternoon,winter,desktop,M,Skirt,Zara,1878891,2319619,19,1448,high,cart,2023-01-02 13:09:01,Premium,0,3,0,15,0,1,13,0,0.9966666666666667
0,171,0,171,1,172,4.12,255,afternoon,winter,mobile,M,Skirt,Pull&Bear,726639,956105,24,1327,high,view,2023-01-02 13:33:36,Mid,0,3,1,15,0,1,13,0,0.7066666666666667
104,91,104,91,105,92,3.76,28,afternoon,winter,mobile,F,Hoodie,The North Face,1958564,2331624,16,1892,medium,cart,2023-01-02 13:36:52,Premium,0,3,1,8,0,1,13,0,0.5866666666666666
89,21,89,21,90,22,3.81,45,afternoon,winter,tablet,F,Skirt,Puma,2080962,2601203,20,84,medium,view,2023-01-02 13:40:44,Luxury,0,3,2,15,0,1,13,0,0.6033333333333334
99,101,99,101,100,102,4.98,162,evening,winter,desktop,M,Shoes,Zara,431320,501536,14,308,high,purchase,2023-01-02 19:03:00,Budget,1,3,0,13,0,1,19,0,0.9933333333333335
180,324,180,324,181,325,3.75,377,evening,winter,tablet,F,Hoodie,Adidas,1188870,1543988,23,1957,medium,cart,2023-01-02 20:04:24,Premium,1,3,2,8,0,1,20,0,0.5833333333333334
